edu,article,writes,apr,good
space,bill,time,power,light
don,make,use,want,mph
george,uiuc,resources,howell,back
edu,insurance,gif,uci,ics
cost,spacecraft,nasa,another,second
ford,engine,turbo,mustang,heard
sky,edu,temperature,writes,large
hst,pat,mission,access,net
space,station,nasa,option,science
cars,two,manual,toyota,speed
henry,edu,toronto,spencer,writes
idea,book,money,want,blue
mission,solar,mars,design,arrays
car,clutch,shifter,sho,shift
car,price,power,dealer,small
edu,article,writes,internet,don
shuttle,space,diesels,missions,work
oil,engine,service,come,change
launch,day,low,mass,temp
