epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
0,0.70129547,0.49931535,0.69657546,0.70116190,0.49924874,0.69644189,[32],0.00100000,0.10000000,1
1,0.39357752,0.22230014,0.33846721,0.39418238,0.22093339,0.33746904,[32],0.00100000,0.10000000,1
2,0.37056548,0.17394245,0.26479927,0.37362691,0.17297749,0.26400003,[32],0.00100000,0.10000000,1
3,0.37713246,0.16585545,0.25208220,0.38118688,0.16470896,0.25112948,[32],0.00100000,0.10000000,1
4,0.38685297,0.16220398,0.24592592,0.39187388,0.16105257,0.24494134,[32],0.00100000,0.10000000,1
5,0.39238231,0.15892485,0.24068028,0.39821612,0.15782966,0.23974787,[32],0.00100000,0.10000000,1
10,0.38961979,0.14457458,0.21912198,0.39435378,0.14364232,0.21810155,[32],0.00100000,0.10000000,1
20,0.39760752,0.13627671,0.20813705,0.40185146,0.13537559,0.20690972,[32],0.00100000,0.10000000,1
30,0.40940810,0.13373262,0.20354520,0.41437526,0.13323174,0.20287740,[32],0.00100000,0.10000000,1
40,0.43363568,0.13094524,0.20014007,0.43798802,0.13084258,0.19990398,[32],0.00100000,0.10000000,1
50,0.46129466,0.12982358,0.19761628,0.46475488,0.12999952,0.19777873,[32],0.00100000,0.10000000,1
60,0.48653143,0.12833028,0.19578655,0.49071627,0.12866548,0.19626315,[32],0.00100000,0.10000000,1
70,0.50554129,0.12747218,0.19429490,0.51044294,0.12779020,0.19481128,[32],0.00100000,0.10000000,1
80,0.52543742,0.12637463,0.19300400,0.53176116,0.12677871,0.19382155,[32],0.00100000,0.10000000,1
90,0.53470125,0.12593190,0.19184241,0.54149102,0.12635992,0.19282383,[32],0.00100000,0.10000000,1
100,0.54684489,0.12501897,0.19062647,0.55423874,0.12547073,0.19175968,[32],0.00100000,0.10000000,1
110,0.56228638,0.12411910,0.18950723,0.57011475,0.12459291,0.19069472,[32],0.00100000,0.10000000,1
120,0.56953271,0.12364591,0.18886811,0.57780709,0.12414920,0.19020964,[32],0.00100000,0.10000000,1
130,0.57605114,0.12317234,0.18832003,0.58510556,0.12366052,0.18967126,[32],0.00100000,0.10000000,1
140,0.58432054,0.12306111,0.18773904,0.59404750,0.12361677,0.18926011,[32],0.00100000,0.10000000,1
150,0.58883093,0.12260727,0.18739124,0.59910718,0.12314972,0.18888028,[32],0.00100000,0.10000000,1
160,0.59751042,0.12247410,0.18707505,0.60892159,0.12302161,0.18859871,[32],0.00100000,0.10000000,1
170,0.60208379,0.12213248,0.18660359,0.61411422,0.12272441,0.18827771,[32],0.00100000,0.10000000,1
180,0.61395411,0.12198211,0.18640359,0.62659574,0.12261736,0.18816671,[32],0.00100000,0.10000000,1
190,0.61878156,0.12162652,0.18610913,0.63160004,0.12225421,0.18791151,[32],0.00100000,0.10000000,1
200,0.62503873,0.12144117,0.18577319,0.63887481,0.12211395,0.18766874,[32],0.00100000,0.10000000,1
